item_id,app_name,genres
761140,Lost Summoner Kitty,Action
761140,Lost Summoner Kitty,Casual
761140,Lost Summoner Kitty,Indie
761140,Lost Summoner Kitty,Simulation
761140,Lost Summoner Kitty,Strategy
643980,Ironbound,Free to Play
643980,Ironbound,Indie
643980,Ironbound,RPG
643980,Ironbound,Strategy
670290,Real Pool 3D - Poolians,Casual
670290,Real Pool 3D - Poolians,Free to Play
670290,Real Pool 3D - Poolians,Indie
670290,Real Pool 3D - Poolians,Simulation
670290,Real Pool 3D - Poolians,Sports
767400,弹炸人2222,Action
767400,弹炸人2222,Adventure
767400,弹炸人2222,Casual
772540,Battle Royale Trainer,Action
772540,Battle Royale Trainer,Adventure
772540,Battle Royale Trainer,Simulation
774276,SNOW - All Access Basic Pass,Free to Play
774276,SNOW - All Access Basic Pass,Indie
774276,SNOW - All Access Basic Pass,Simulation
774276,SNOW - All Access Basic Pass,Sports
774277,SNOW - All Access Pro Pass,Free to Play
774277,SNOW - All Access Pro Pass,Indie
774277,SNOW - All Access Pro Pass,Simulation
774277,SNOW - All Access Pro Pass,Sports
774278,SNOW - All Access Legend Pass,Free to Play
774278,SNOW - All Access Legend Pass,Indie
774278,SNOW - All Access Legend Pass,Simulation
774278,SNOW - All Access Legend Pass,Sports
768800,Race,Casual
768800,Race,Indie
768800,Race,Racing
768800,Race,Simulation
768570,Uncanny Islands,Action
768570,Uncanny Islands,Indie
768570,Uncanny Islands,Simulation
768570,Uncanny Islands,Early Access
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Action
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Adventure
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Casual
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Indie
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,RPG
768880,Beach Rules,Casual
768880,Beach Rules,Indie
765320,Planetarium 2 - Zen Odyssey,Casual
765320,Planetarium 2 - Zen Odyssey,Indie
765320,Planetarium 2 - Zen Odyssey,Simulation
773650,The first thrust of God,Adventure
773650,The first thrust of God,Casual
773650,The first thrust of God,Indie
773650,The first thrust of God,Simulation
773650,The first thrust of God,Strategy
774271,SNOW - Starter Pack,Free to Play
774271,SNOW - Starter Pack,Indie
774271,SNOW - Starter Pack,Simulation
774271,SNOW - Starter Pack,Sports
773690,The first thrust of God - All Aircrafts,Adventure
773690,The first thrust of God - All Aircrafts,Casual
773690,The first thrust of God - All Aircrafts,Indie
773690,The first thrust of God - All Aircrafts,Simulation
773690,The first thrust of God - All Aircrafts,Strategy
774279,SNOW - Lifetime Pack,Free to Play
774279,SNOW - Lifetime Pack,Indie
774279,SNOW - Lifetime Pack,Simulation
774279,SNOW - Lifetime Pack,Sports
768060,The Warrior Of Treasures,Action
768060,The Warrior Of Treasures,Adventure
768060,The Warrior Of Treasures,Indie
775880,RC Plane 3 - Canyon Scenario,Racing
775880,RC Plane 3 - Canyon Scenario,Simulation
775880,RC Plane 3 - Canyon Scenario,Sports
775881,RC Plane 3 - F-53B,Racing
775881,RC Plane 3 - F-53B,Simulation
775881,RC Plane 3 - F-53B,Sports
653960,DinoBlaster,Action
653960,DinoBlaster,Indie
282010,Carmageddon Max Pack,Action
282010,Carmageddon Max Pack,Indie
282010,Carmageddon Max Pack,Racing
70,Half-Life,Action
752360,Fallen Mage,Action
752360,Fallen Mage,Indie
752360,Fallen Mage,RPG
520680,Lost Cities,Casual
520680,Lost Cities,Indie
520680,Lost Cities,Strategy
690410,Twisted Enhanced Edition,Action
766850,Vaporwave Simulator,Casual
766850,Vaporwave Simulator,Indie
766850,Vaporwave Simulator,Simulation
413120,Tactics Forever,Action
413120,Tactics Forever,Casual
413120,Tactics Forever,Indie
413120,Tactics Forever,Massively Multiplayer
413120,Tactics Forever,Simulation
413120,Tactics Forever,Sports
413120,Tactics Forever,Strategy
773120,Christmas Santa Troubles,Adventure
773120,Christmas Santa Troubles,Casual
773120,Christmas Santa Troubles,Indie
754360,Underdone - Soundtrack,Action
754360,Underdone - Soundtrack,Adventure
754360,Underdone - Soundtrack,RPG
716110,Bitcoin Clicker,Adventure
716110,Bitcoin Clicker,Casual
716110,Bitcoin Clicker,Indie
716110,Bitcoin Clicker,RPG
1640,Disciples II: Gallean's Return,Strategy
1630,Disciples II: Rise of the Elves,Strategy
2400,The Ship: Murder Party,Action
2400,The Ship: Murder Party,Indie
2400,The Ship: Murder Party,RPG
662570,United Tactics,Strategy
381620,Life of Rome,Indie
381620,Life of Rome,Massively Multiplayer
381620,Life of Rome,RPG
381620,Life of Rome,Early Access
714020,Idle Adventure,Adventure
714020,Idle Adventure,Free to Play
714020,Idle Adventure,RPG
714020,Idle Adventure,Early Access
759920,Souland,Action
759920,Souland,Indie
759920,Souland,Strategy
759920,Souland,Early Access
